,avg_semantic_similarity,avg_semantic_similarity,avg_semantic_similarity,avg_semantic_similarity,avg_semantic_similarity,avg_semantic_similarity,avg_semantic_similarity,avg_semantic_similarity,diversity_between_paraphrases,diversity_between_paraphrases,diversity_between_paraphrases,diversity_between_paraphrases,diversity_between_paraphrases,diversity_between_paraphrases,diversity_between_paraphrases,diversity_between_paraphrases,avg_bleu,avg_bleu,avg_bleu,avg_bleu,avg_bleu,avg_bleu,avg_bleu,avg_bleu,avg_rougel,avg_rougel,avg_rougel,avg_rougel,avg_rougel,avg_rougel,avg_rougel,avg_rougel
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vamsi/T5_Paraphrase_Paws,6.0,0.9393739799658457,0.018115605554819652,0.9165253281593323,0.924015286564827,0.9479188203811646,0.949352478981018,0.9580031037330627,6.0,0.9235052103742297,0.043209404185135865,0.8804571333425079,0.8834258096904694,0.9257174637018221,0.9591030886692904,0.9695789794874283,6.0,0.7354655344352149,0.03786966833727912,0.69855762056862,0.7055356511005052,0.7264697426961608,0.763206615856015,0.7872862398390953,6.0,0.9458718609735998,0.010292215186010636,0.9371428571428572,0.9378326844364581,0.9416491963661775,0.9549667036625971,0.9588235294117646
deepseek,4.0,0.785830506682396,0.09659618822155473,0.6563720941543579,0.7413466304540635,0.8073577791452408,0.8518416553735733,0.8722343742847443,4.0,0.21762609525672066,0.17974955038848434,0.03046206018138322,0.09169570643777061,0.20654663675430054,0.3324770255732506,0.4269490473368983,4.0,0.15154613737939454,0.15469897076714467,2.360196296293892e-78,0.028578449684936044,0.15075927111781046,0.27372695881226894,0.30466600728195725,4.0,0.3943485147344499,0.023310782602866106,0.37444426255709284,0.37816033989442976,0.3884886151430269,0.4046767899830469,0.4259725660946526
facebook/bart-base,6.0,0.9872284253438314,0.008443476804296522,0.9763739228248596,0.9802278250455856,0.9917895317077636,0.993088749051094,0.9935218214988708,6.0,0.8768880263062435,0.028495612810387427,0.85510005002835,0.8568529724531221,0.8621117397274384,0.9006171518040663,0.9134522891629423,6.0,0.9145123301251691,0.043025313054051474,0.861686944245083,0.8777792665077039,0.9260562332955665,0.9483594179500349,0.9557938128348576,6.0,0.9734254993694638,0.012088092690905678,0.9609523809523809,0.963599275967697,0.9715399610136453,0.9837231073601851,0.987784156142365
gemini,15.0,0.790304910739263,0.04347982907109795,0.7341655015945434,0.7639322638511659,0.7774019122123719,0.8379686743021011,0.8526932835578919,15.0,0.20755209116389076,0.14370986726817564,0.025374596106048752,0.09934759124800296,0.16213348504855704,0.34203957735710355,0.4456279055990832,15.0,0.17670917083055127,0.15941938758431873,0.02065050130197251,0.038239381829955635,0.13238928796178573,0.35103764882693295,0.42284931049258356,15.0,0.4078242145172056,0.04340423680388265,0.3163796491395413,0.38763642278650284,0.41785837096457285,0.43548508525661883,0.4793478214049272
llama,12.0,0.767819814880689,0.06612557048209866,0.621935510635376,0.7189666196703911,0.7951795786619187,0.8164069712162018,0.8363269448280335,12.0,0.25419797402490923,0.08389542423409146,0.09470538777835852,0.20700542860613672,0.25253934711784637,0.32065525762273217,0.3567990909649756,12.0,0.13410704456036865,0.10707479028797748,0.013469438256331309,0.05405570618414729,0.11130184862312892,0.22091829448978872,0.3166775571510706,12.0,0.4043435698538707,0.04669298876840537,0.3013927496937523,0.37546101614061006,0.424246430818754,0.4338776717534524,0.4598819170538495
t5-base,6.0,0.8669460217157999,0.049598790711502555,0.7832615613937378,0.8506298989057541,0.8716406285762788,0.9024451673030853,0.9187936425209046,6.0,0.79513243234168,0.09642187858731399,0.6468576099859689,0.7478868015349956,0.8037599264927255,0.8710935333284962,0.8936166355891546,6.0,0.5116278843416494,0.1580417549460398,0.3020252080491349,0.3977288023935598,0.5373163468057134,0.5963298183988179,0.7259088078699729,6.0,0.6171621339199906,0.10902775494895978,0.45222734254992325,0.5609425436044736,0.6185012257740384,0.7023368618076897,0.7417046193884189
tuner007/pegasus_paraphrase,6.0,0.8913248538970947,0.0688101214642265,0.8241113662719727,0.8428655117750168,0.866273045539856,0.949295437335968,0.9792590975761414,6.0,0.8861812133751453,0.03916975960711558,0.8434635203849326,0.8522274763516233,0.8852141589098795,0.9175170546500653,0.9336788399838489,6.0,0.605851555135516,0.26796601595627617,0.2828187762735291,0.40434939588600277,0.5787669642022807,0.8426958855866885,0.9178742269729383,6.0,0.7025656827779342,0.22995695915298198,0.42623247399366804,0.5383646625987553,0.6693943423576989,0.8967312596680465,0.9831746031746033
